iter	Passed	Remaining
791	7636	474494
792	7645	474390
793	7653	474334
794	7662	474268
795	7671	474221
796	7680	474155
797	7689	474111
798	7698	474070
799	7707	473991
800	7716	473976
801	7728	474108
802	7737	474024
803	7745	473967
804	7754	473892
805	7762	473777
806	7771	473710
807	7780	473713
808	7790	473701
809	7798	473613
810	7807	473546
811	7816	473523
812	7825	473459
813	7834	473390
814	7842	473320
815	7851	473267
816	7860	473186
817	7869	473139
818	7879	473135
819	7888	473091
820	7896	473021
821	7905	472969
822	7913	472865
823	7922	472812
824	7932	472801
825	7942	472812
826	7951	472801
827	7961	472798
828	7971	472790
829	7982	472869
830	7990	472812
831	8002	472921
832	8011	472891
833	8021	472868
834	8035	473151
835	8044	473078
836	8052	472984
837	8061	472929
838	8070	472874
839	8080	472928
840	8090	472918
841	8103	473114
842	8115	473233
843	8124	473188
844	8134	473202
845	8143	473121
846	8151	473049
847	8161	473056
848	8174	473269
849	8185	473316
850	8194	473282
851	8203	473249
852	8213	473225
853	8222	473190
854	8232	473192
855	8241	473174
856	8258	473543
857	8266	473456
858	8276	473454
859	8289	473637
860	8297	473569
861	8307	473573
862	8315	473457
863	8324	473410
864	8332	473341
865	8341	473296
866	8350	473237
867	8359	473206
868	8369	473167
869	8377	473106
870	8387	473074
871	8397	473092
872	8407	473141
873	8416	473081
874	8425	473025
875	8434	472992
876	8443	472946
877	8452	472889
878	8460	472818
879	8469	472740
880	8477	472658
881	8486	472612
882	8494	472521
883	8504	472514
884	8513	472455
885	8522	472414
886	8532	472417
887	8541	472376
888	8551	472433
889	8560	472393
890	8569	472316
891	8578	472281
892	8587	472221
893	8596	472183
894	8606	472197
895	8615	472140
896	8623	472082
897	8633	472047
898	8641	471988
899	8651	471987
900	8661	471998
901	8670	471941
902	8679	471909
903	8688	471850
904	8697	471835
905	8706	471785
906	8717	471834
907	8729	471968
908	8738	471929
909	8747	471881
910	8756	471850
911	8766	471834
912	8775	471822
913	8784	471785
914	8793	471721
915	8801	471643
916	8810	471606
917	8820	471581
918	8830	471599
919	8839	471574
920	8849	471559
921	8860	471669
922	8872	471783
923	8882	471764
924	8891	471718
925	8901	471766
926	8911	471732
927	8919	471682
928	8928	471625
929	8938	471617
930	8947	471560
931	8955	471486
932	8964	471440
933	8973	471422
934	8984	471495
935	8996	471568
936	9005	471523
937	9014	471476
938	9022	471389
939	9031	471374
940	9039	471278
941	9048	471229
942	9057	471166
943	9065	471110
944	9074	471051
945	9083	471028
946	9092	470967
947	9103	471024
948	9111	470945
949	9120	470915
950	9130	470939
951	9139	470869
952	9147	470804
953	9156	470766
954	9168	470850
955	9178	470885
956	9188	470871
957	9197	470825
958	9206	470785
959	9215	470761
960	9225	470779
961	9235	470763
962	9243	470672
963	9251	470603
964	9260	470548
965	9269	470504
966	9279	470511
967	9288	470469
968	9312	471188
969	9323	471265
970	9333	471273
971	9342	471258
972	9352	471251
973	9363	471309
974	9376	471452
975	9384	471368
976	9392	471305
977	9401	471260
978	9412	471298
979	9420	471227
980	9429	471164
981	9439	471169
982	9451	471277
983	9460	471234
984	9469	471213
985	9477	471142
986	9486	471067
987	9495	471046
988	9505	471042
989	9514	471039
990	9524	471014
991	9533	470972
992	9543	471010
993	9553	470989
994	9564	471044
995	9574	471055
996	9582	470992
997	9591	470966
998	9600	470890
999	9609	470849
1000	9617	470800
1001	9627	470776
1002	9637	470814
1003	9646	470780
1004	9658	470866
1005	9667	470828
1006	9678	470860
1007	9688	470884
1008	9704	471176
1009	9714	471186
1010	9723	471142
1011	9732	471138
1012	9742	471117
1013	9752	471137
1014	9761	471099
1015	9770	471045
1016	9779	471035
1017	9789	471022
1018	9798	470982
1019	9806	470907
1020	9816	470921
1021	9826	470936
1022	9835	470905
1023	9846	470942
1024	9859	471109
1025	9868	471047
1026	9877	471007
1027	9885	470949
1028	9894	470893
1029	9903	470839
1030	9912	470799
1031	9922	470827
1032	9931	470783
1033	9939	470717
1034	9948	470665
1035	9957	470613
1036	9966	470590
1037	9976	470564
1038	9985	470537
1039	9996	470583
1040	10004	470537
1041	10016	470624
1042	10028	470723
1043	10037	470691
1044	10045	470599
1045	10054	470567
1046	10063	470535
1047	10073	470515
1048	10083	470536
1049	10097	470729
1050	10105	470665
1051	10113	470583
1052	10122	470513
1053	10131	470509
1054	10140	470468
1055	10150	470442
1056	10161	470517
1057	10170	470492
1058	10179	470432
1059	10188	470390
1060	10197	470346
1061	10206	470304
1062	10215	470292
1063	10226	470325
1064	10237	470412
1065	10246	470360
1066	10256	470351
1067	10265	470310
1068	10274	470300
1069	10285	470323
1070	10296	470419
1071	10305	470371
1072	10315	470352
1073	10325	470372
1074	10335	470379
1075	10343	470300
1076	10352	470245
1077	10361	470217
1078	10370	470177
1079	10378	470129
1080	10387	470086
1081	10396	470043
1082	10405	470006
1083	10413	469916
1084	10422	469874
1085	10432	469876
1086	10441	469846
1087	10450	469811
1088	10460	469809
1089	10468	469759
1090	10478	469733
1091	10487	469700
1092	10497	469696
1093	10506	469690
1094	10516	469680
1095	10528	469777
1096	10537	469746
1097	10546	469704
1098	10555	469683
1099	10565	469664
1100	10576	469738
1101	10587	469785
1102	10596	469745
1103	10605	469722
1104	10614	469683
1105	10622	469611
1106	10631	469560
1107	10641	469556
1108	10650	469550
1109	10660	469529
1110	10669	469507
1111	10679	469520
1112	10687	469455
1113	10697	469422
1114	10709	469521
1115	10720	469597
1116	10729	469568
1117	10739	469558
1118	10748	469541
1119	10758	469517
1120	10767	469489
1121	10778	469557
1122	10790	469637
1123	10799	469601
1124	10808	469550
1125	10817	469533
1126	10826	469499
1127	10835	469458
1128	10845	469476
1129	10854	469430
1130	10863	469415
1131	10875	469479
1132	10884	469459
1133	10894	469481
1134	10902	469388
1135	10911	469330
1136	10919	469289
1137	10930	469311
1138	10938	469240
1139	10947	469193
